R000237/S002950/P025075	بر اساس یک گزارش پزشکی تعداد بیماران ایدز در هند هر چهارده ماه دو برابر می‌شود	B A R | AH A S AA S E | Y E K | G O Z AA R E SH E | P E Z E SH K I | T E AH D AA D E | B I M AA R AA N E | AH E Y D Z | D A R | H E N D | H A R | CH AA H AA R D A H | M AA H | D O | B A R AA B A R | M I SH A V A D	SIL | B A R | AH A S AA S E | Y E K | G O Z AA R E SH E | P E Z E SH K I | T E AH D AA D E | B I M AA R AA N | AH E Y D Z | SIL | D A R | H E N D | H A R | CH AA H AA R D A H | M AA H | SIL | D O | B A R AA B A R | SIL | M I SH A V A D
R000457/S005748/P071513	تاکنون علت دقیق این بیماری شناخته نشده است	T AA K O N U N | AH E L L A T E | D A Q I Q E | AH I N | B I M AA R I | SH E N AA KH T E | N A SH O D E | AH A S T	T AA K O N U N | AH E L L A T E | D A Q I Q E | AH I N | B I M AA R I | SH E N AA KH T E | N A SH O D E | AH A S T
R000457/S005748/P071514	درازای ضلع غربی پانصد و بیست متر پهنای آن ضلع جنوبی چهارصد و سی متر و مساحت قلعه در حدود دویست هزار مترمربع است	D A R AH E Z AA Y E | Z E L AH E | Q A R B I | P AA N S A D | V A | B I S T | M E T R | P A H N AA Y E | AH AA N | Z E L AH E | J O N U B I | CH AA H AA R S A D | V A | S I | M E T R | V A | M A S AA H A T E | Q A L AH E | D A R | H O D U D E | D E V I S T | H E Z AA R | M E T R E M O R A B B A AH | AH A S T	SIL | D E R AA Z AA Y E | Z E L AH E | Q A R B I | SIL | P AA N S A D | V E | SIL | B I S T | M E T R | SIL | P A H N AA Y E | AH AA N | SIL | Z E L AH E | J O N U B I | SIL | CH AA H AA R S A D | V E | S I | M E T R | V A | M A S AA H A T E | Q A L AH E | D A R | H O D U D E | D E V I S T | H E Z AA R | M E T R E M O R A B B A AH | AH A S T
R000457/S005749/P071515	اما امروز این مشت از هم گشوده شده و هر انگشت می‌خواهد برای خودش مشتی محکم باشد	AH A M M AA | AH E M R U Z | AH I N | M O SH T E | AH A Z | H A M | G O SH U D E | SH O D E | V A | H A R | AH A N G O SH T | M I KH AA H A D | B A R AA Y E | KH O D A SH | M O SH T I | M O H K A M | B AA SH A D	SIL | AH A M M AA | AH E M R U Z | AH I N | M O SH T | AH A Z | H A M M | G O SH U D E | SH O D E | V A | H A R | AH A N G O SH T | M I KH AA H A D | SIL | B A R AA Y E | KH O D A SH | SIL | M O SH T I | M O H K A M | B AA SH A D | SIL
R000457/S005749/P071516	مینوی خرد را تعالیم عقل آسمانی گویند	M I N U Y E | KH E R A D | R AA | T A AH AA L I M E | AH A Q L E | AH AA S E M AA N I | G U Y A N D	SIL | M I N U Y E | KH E R A D | R AA | T A AH AA L I M E | SIL | AH A Q L E | AH AA S E M AA N I | G U Y A N D | SIL
R000457/S005749/P071517	نمایشنامه جدید آرتور میلر روی صحنه رفت	N A M AA Y E SH N AA M E Y E | J A D I D E | AH AA R T U R | M I L E R | R U Y E | S A H N E | R A F T	SIL | N A M AA Y E SH N AA M E Y E | J A D I D E | SIL | AH AA R T U R | M I L E R | SIL | R U Y E | S A H N E | R A F T | SIL
R000457/S005749/P071520	روشن است برخورد از چنین مواضعی نمی‌تواند مورد قبول اصلاح‌طلبان قرار گیرد	R O SH A N | AH A S T | B A R KH O R D | AH A Z | CH E N I N | M A V AA Z E AH I | N E M I T A V AA N A D | M O R E D E | Q A B U L E | AH E S L AA H T A L A B AA N | Q A R AA R | G I R A D	SIL | R O SH A N | AH A S T | B A R KH O R D | AH A Z | CH E N I N | M A V AA Z E AH I | N E M I T A V AA N A D | M O R E D E | Q A B U L E | AH E S L AA H T A L A B AA N | Q A R AA R | G I R A D | SIL
R000457/S005749/P071521	یکی دو ساعت بعد آمبولانس جلوی مرکز اورژانس ایستاد	Y E K I | D O | S AA AH A T E | B A AH D | AH AA M B O L AA N S | J E L O Y E | M A R K A Z E | AH O R ZH AA N S | AH I S T AA D	SIL | Y E K I | D O | S AA AH A T E | B A AH D | AH AA M B O L AA N S | J E L O Y E | M A R K A Z E | SIL | AH U R ZH AA N S | AH I S T AA D
R000457/S005749/P071522	بوق که زد مادر پیرش که یکی دو سال از من جوان‌تر است با عجله از خانه می‌آید بیرون	B U Q | K E | Z A D | M AA D A R E | P I R A SH | K E | Y E K I | D O | S AA L | AH A Z | M A N | J A V AA N T A R | AH A S T | B AA | AH A J A L E | AH A Z | KH AA N E | M I AH AA Y A D | B I R U N	SIL | B U Q | K E | Z A D | SIL | M AA D A R E | P I R A SH | K E | Y E K I | D O | S AA L | AH A Z | M A N | J A V AA N T A R | AH A S T | B AA | AH A J A L E | AH A Z | KH AA N E | M I AH AA Y A D | B I R U N | SIL
R000457/S005750/P071523	انتقال ویروس این بیماری در مراکز نگهداری شبانه‌روزی کودکان عقب‌افتاده ثابت شده است	AH E N T E Q AA L E | V I R U S E | AH I N | B I M AA R I | D A R | M A R AA K E Z E | N E G A H D AA R I Y E | SH A B AA N E R U Z I Y E | K U D A K AA N E | AH A Q A B AH O F T AA D E | S AA B E T | SH O D E | AH A S T	SIL | AH E N T E Q AA L E | V I R U S E | AH I N | B I M AA R I | D A R | M A R AA K E Z E | N E G A H D AA R I | SH A B AA N E R U Z I Y E | K U D A K AA N E | AH A Q A B AH O F T AA D E | S AA B E T | SH O D E | AH A S T
R000457/S005750/P071524	جنازه این فرد که از سرما یخ زده بود توسط مسافران یک قطار در جنوب شرقی این کشور پیدا شد	J E N AA Z E Y E | AH I N | F A R D | K E | AH A Z | S A R M AA | Y A KH | Z A D E | B U D | T A V A S S O T E | M O S AA F E R AA N E | Y E K | Q A T AA R | D A R | J O N U B E | SH A R Q I Y E | AH I N | K E SH V A R | P E Y D AA | SH O D	SIL | J E N AA Z E Y E | AH I N | F A R D | K E | AH A Z | S A R M AA | Y A KH | Z A D E | B U D | T A V A S S O T E | M O S AA F E R AA N E | Y E K | Q A T AA R | D A R | J O N U B E | SH A R Q I | AH I N | K E SH V A R | P E Y D AA | SH O D | SIL
R000457/S005750/P071525	در این کتابخانه در حدود شش هزار و پانصد گزارش در خصوص تحقیقات دانشمندان اتمی وجود دارد	D A R | AH I N | K E T AA B KH AA N E | D A R | H O D U D E | SH E SH | H E Z AA R | V A | P AA N S A D | G O Z AA R E SH | D A R | KH O S U S E | T A H Q I Q AA T E | D AA N E SH M A N D AA N E | AH A T O M I | V O J U D | D AA R A D	D A R | AH I N | K E T AA B KH AA N E | D A R | H O D U D E | SH E SH | H E Z AA R | V E | P AA N S A D | G O Z AA R E SH | D A R | KH O S U S E | T A H Q I Q AA T E | D AA N E SH M A N D AA N | AH A T O M I | V O J U D | D AA R A D | SIL
R000457/S005750/P071526	پول تاکنون به عنوان خدمتکاری برای اقتصاد مولد به حساب نیامده بلکه به عنوان باری بر دوش اقتصاد سنگینی کرده است	P U L | T AA K O N U N | B E | AH O N V AA N E | KH E D M A T K AA R I | B A R AA Y E | AH E Q T E S AA D E | M O V A L L E D | B E | H E S AA B | N A Y AA M A D E | B A L K E | B E | AH O N V AA N E | B AA R I | B A R | D U SH E | AH E Q T E S AA D | S A N G I N I | K A R D E | AH A S T	SIL | P U L | T AA K O N U N | B E | AH O N V AA N E | KH E D M A T K AA R I | B A R AA Y E | AH E Q T E S AA D E | M O V A L L E D | B E | H E S AA B | N A Y AA M A D E | SIL | B A L K E | B E | AH O N V AA N E | B AA R I | B A R | D U SH E | AH E Q T E S AA D | SIL | S A N G I N I | K A R D E | AH A S T
R000457/S005750/P071528	مشکهای آب یکی پس از دیگری خالی می‌شدند	M A SH K H AA Y E | AH AA B | Y E K I | P A S | AH A Z | D I G A R I | KH AA L I | M I SH O D A N D	SIL | M A SH K H AA Y E | AH AA B | Y E K I | P A S | AH A Z | D I G A R I | KH AA L I | M I SH O D A N D | SIL
R000457/S005750/P071529	انتخاب یکی از این انواع به عوامل مختلفی بستگی داشته و از پیش نمی‌توان یک قاعده کلی ارائه کرد	AH E N T E KH AA B E | Y E K I | AH A Z | AH I N | AH A N V AA AH | B E | AH A V AA M E L E | M O KH T A L E F I | B A S T E G I | D AA SH T E | V A | AH A Z | P I SH | N E M I T A V AA N | Y E K | Q AA AH E D E Y E | K O L L I | AH E R AA AH E | K A R D	AH E N T E KH AA B E | Y E K I | AH A Z | AH I N | SIL | AH A N V AA AH | B E | AH A V AA M E L E | M O KH T A L E F I | B A S T E G I | D AA SH T E | V A | AH A Z | P I SH | N E M I T A V AA N | SIL | Y E K | Q AA AH E D E Y E | K O L L I | AH E R AA AH E | K A R D | SIL
R000457/S005750/P071530	کشتی‌گیر هندی دوم شد و مدال برنز به کشتی‌گیر تایوان رسید	K O SH T I G I R E | H E N D I | D O V V O M | SH O D | V A | M E D AA L E | B O R O N Z | B E | K O SH T I G I R E | T AA Y V AA N | R E S I D	SIL | K O SH T I G I R E | H E N D I | D O V V O M | SH O D | V A | M E D AA L E | B O R O N Z | B E | K O SH T I G I R E | T AA Y V AA N | R E S I D | SIL
R000547/S008497/P096155	دختر جوان بچه به بغلی دست از سماجت برنمی‌دارد	D O KH T A R E | J A V AA N E | B A CH CH E | B E | B A Q A L I | D A S T | AH A Z | S E M AA J A T | B A R N E M I D AA R A D	SIL | D O KH T A R E | J A V AA N E | B A CH CH E | B E | B A Q A L I | SIL | D A S T | AH A Z | S E M AA J A T | B A R N E M I D AA R A D
R000547/S008497/P096156	این واحدهای تعاونی تولیدی و خدماتی با استفاده از تسهیلات اعتباری تبصره‌های سه و پنجاه قانون بودجه ایجاد شده‌اند	AH I N | V AA H E D H AA Y E | T A AH AA V O N I | T O L I D I | V A | KH A D A M AA T I | B AA | AH E S T E F AA D E | AH A Z | T A S H I L AA T E | AH E AH T E B AA R I Y E | T A B S A R E H AA Y E | S E | V A | P A N J AA H | Q AA N U N E | B U D J E | AH I J AA D | SH O D E AH A N D	SIL | AH I N | V AA H E D H AA Y E | T A AH AA V O N I | T O L I D I | V A | KH A D A M AA T I | B AA | AH E S T E F AA D E | AH A Z | T A S H I L AA T | AH E AH T E B AA R I Y E | T A B S A R E H AA Y E | S E | V E | SIL | P A N J AA H E | Q AA N U N E | B U D J E | AH I J AA D | SH O D E AH A N D
R000547/S008497/P096157	اما امور بین‌المللی در اولویت نبوده و از این رو آسیب‌پذیرترین ناحیه است چراکه چندان مورد حمایت قانون اساسی امریکا نمی‌باشد	AH A M M AA | AH O M U R E | B E Y N O L M E L A L I | D A R | AH O L A V I Y Y A T | N A B U D E | V A | AH A Z | AH I N | R U | AH AA S I B P A Z I R T A R I N | N AA H I Y E | AH A S T | CH E R AA K E | CH A N D AA N | M O R E D E | H E M AA Y A T E | Q AA N U N E | AH A S AA S I Y E | AH E M R I K AA | N E M I B AA SH A D	SIL | AH A M M AA | AH O M U R E | B E Y N O L M E L A L I | D A R | AH O L A V I Y Y A T | N A B U D E | V A | AH A Z | AH I N | R U | AH AA S I B P A Z I R T A R I N | N AA H I Y Y E | AH A S T | CH E R AA K E | CH A N D AA N | M O R E D E | H E M AA Y A T E | Q AA N U N E | AH A S AA S I | AH E M R I K AA | N E M I B AA SH A D
R000547/S008497/P096158	او از رفتن حسام‌الدین خاموش می‌شود و از بازگشتن او به ناله و نوا درمی‌آید چون ضیاءالحق حسام‌الدین عنان بازگردانید	AH U | AH A Z | R A F T A N E | H E S AA M O D D I N | KH AA M U SH | M I SH A V A D | V A | AH A Z | B AA Z G A SH T A N E | AH U | B E | N AA L E | V A | N A V AA | D A R M I AH AA Y A D | CH O N | Z I Y AA AH O L H A Q Q | H E S AA M O D D I N | AH E N AA N | B AA Z G A R D AA N I D	AH U | AH A Z | R A F T A N E | H E S AA M E D D I N | KH AA M U SH | M I SH A V A D | V A | AH A Z | B AA Z G A SH T A N E | AH U | B E | N AA L E | AH O | SIL | N A V AA | D A R M I AH AA Y A D | SIL | CH O N | Z I Y AA AH O L H A Q Q | SIL | H E S AA M E D D I N | SIL | AH A N AA N | B AA Z G A R D AA N I D | SIL
R000547/S008497/P096159	پیروزی تهران در مسابقات جام حذفی شرکت می‌کند	P I R U Z I Y E | T E H R AA N | D A R | M O S AA B E Q AA T E | J AA M E | H A Z F I | SH E R K A T | M I K O N A D	SIL | P I R U Z I Y E | T E H R AA N | D A R | M O S AA B E Q AA T E | J AA M E | H A Z F I | SH E R K A T | M I K O N A D
R000547/S008497/P096160	مقام شامخ آن امام عزیز بر اهل فن و محققین حاضر امت اسلامی پوشیده نیست	M A Q AA M E | SH AA M E KH E | AH AA N | AH E M AA M E | AH A Z I Z | B A R | AH A H L E | F A N N | V A | M O H A Q Q E Q I N E | H AA Z E R E | AH O M M A T E | AH E S L AA M I | P U SH I D E | N I S T	SIL | M A Q AA M E | SH AA M E KH E | AH AA N | AH E M AA M E | AH A Z I Z | B A R | AH A H L E | F A N | V A | M O H A Q Q E Q I N E | H AA Z E R E | AH O M M A T | AH E S L AA M I | P U SH I D E | N I S T | SIL
R000547/S008497/P096161	هرچه تعداد جواب‌های بلی شما کمتر باشد عزت نفس شما کمتر است	H A R CH E | T E AH D AA D E | J A V AA B H AA Y E | B A L I Y E | SH O M AA | K A M T A R | B AA SH A D | AH E Z Z A T E | N A F S E | SH O M AA | K A M T A R | AH A S T	SIL | H A R CH E | T E AH D AA D E | J A V AA B H AA Y E | B A L I Y E | SH O M AA | K A M T A R | B AA SH A D | AH E Z Z A T E | N A F S E | SH O M AA | K A M T A R | AH A S T | SIL
R000547/S008497/P096162	تا آن جا که اطلاع دارم مختاری خیلی به این قصه علاقه دارد	T AA | AH AA N | J AA | K E | AH E T T E L AA AH | D AA R A M | M O KH T AA R I | KH E Y L I | B E | AH I N | Q E S S E | AH A L AA Q E | D AA R A D	SIL | T AA | AH AA N | J AA | K E | AH E T T E L AA AH | D AA R A M | SIL | M O KH T AA R I | KH E Y L I | B E | AH I N | Q E S S E | AH A L AA Q E | D AA R A D
R000547/S008498/P096163	اختلال در ارتباط تلفنی منطقه هشت تهران به منظور اجرای طرح توسعه و بازسازی شبکه مخابراتی تهران بزرگ ارتباط تلفنی در منطقه هشت دچار اختلال می‌شود	AH E KH T E L AA L | D A R | AH E R T E B AA T E | T E L E F O N I Y E | M A N T A Q E Y E | H A SH T | T E H R AA N | B E | M A N Z U R E | AH E J R AA Y E | T A R H E | T O S E AH E | V A | B AA Z S AA Z I Y E | SH A B A K E Y E | M O KH AA B E R AA T I Y E | T E H R AA N E | B O Z O R G | AH E R T E B AA T E | T E L E F O N I | D A R | M A N T A Q E Y E | H A SH T | D O CH AA R E | AH E KH T E L AA L | M I SH A V A D	AH E KH T E L AA L | D A R | AH E R T E B AA T E | T E L E F O N I Y E | M A N T A Q E Y E | H A SH T E | T E H R AA N | B E | M A N Z U R E | AH E J R AA Y E | T A R H E | T O S E AH E | SIL | V AA V | B AA Z S AA Z I | SH A B A K E Y E | M O KH AA B E R AA T I Y E | T E H R AA N E | B O Z O R G | SIL | AH E R T E B AA T E | T E L E F O N I | D A R | M A N T A Q E Y E | H A SH T | D O CH AA R E | AH E KH T E L AA L | M I SH A V A D
R000547/S008498/P096164	از ویژگی‌های دیدنی دیگر استان می‌توان به معماری خاص بناها اشاره کرد که وجود بادگیرها حوض بزرگ وسط حیاط و دیوارهای بلند آن‌ها را بسیار دیدنی کرده است	AH A Z | V I ZH E G I H AA Y E | D I D A N I Y E | D I G A R E | AH O S T AA N | M I T A V AA N | B E | M E AH M AA R I Y E | KH AA S S E | B A N AA H AA | AH E SH AA R E | K A R D | K E | V O J U D E | B AA D G I R H AA | H O Z E | B O Z O R G E | V A S A T E | H A Y AA T | V A | D I V AA R H AA Y E | B O L A N D | AH AA N H AA | R AA | B E S I Y AA R | D I D A N I | K A R D E | AH A S T	AH A Z | V I ZH E G I H AA Y E | D I D A N I Y E | D I G A R E | AH O S T AA N | M I T A V AA N | B E | M E AH M AA R I | KH AA S S E | B A N AA H AA | AH E SH AA R E | K A R D | SIL | K E H | V O J U D E | SIL | B AA D G I R H AA | SIL | H O Z E | B O Z O R G E | V A S A T E | H A Y AA T | SIL | V A | D I V AA R H AA Y E | B O L A N D E | AH AA N H AA | R AA | B E S Y AA R | D I D A N I | K A R D E | AH A S T
R000547/S008498/P096165	به گفته وی این طرح به ابتکار دفتر محیط زیست دریایی سازمان محیط زیست کشور و با همکاری اداره کل محیط زیست گیلان انجام خواهد شد	B E | G O F T E Y E | V E Y | AH I N | T A R H | B E | AH E B T E K AA R E | D A F T A R E | M O H I T E | Z I S T E | D A R Y AA Y I | S AA Z M AA N E | M O H I T E | Z I S T E | K E SH V A R | V A | B AA | H A M K AA R I Y E | AH E D AA R E Y E | K A L E | M O H I T E | Z I S T E | G I L AA N | AH A N J AA M | KH AA H A D | SH O D	SIL | B E | G O F T E Y E | V E Y | AH I N | T A R H | B E | AH E B T E K AA R E | D A F T A R E | M O H I T E | Z I S T E | D A R Y AA Y I Y E | S AA Z M AA N E | M O H I T E | Z I S T E | K E SH V A R | SIL | V AA V | B AA | H A M K AA R I | AH E D AA R E Y E | K O L L E | M O H I T E | Z I S T E | G I L AA N | AH A N J AA M | KH AA H A D | SIL | SH O D | SIL
R000547/S008498/P096166	می‌بایست روشی برای تفکیک رنگ پیدا می‌کردم که همه اجزای تصویر را در بر بگیرد	M I B AA Y E S T | R A V E SH I | B A R AA Y E | T A F K I K E | R A N G | P E Y D AA | M I K A R D A M | K E | H A M E Y E | AH A J Z AA Y E | T A S V I R | R AA | D A R | B A R | B E G I R A D	SIL | M I B AA Y E S T | R A V E SH I | B A R AA Y E | T A F K I K E | R A N G | P E Y D AA | M I K A R D A M | K E | H A M E | AH A J Z AA Y E | T A S V I R | R AA | D A R | B A R | B E G I R A D | SIL
R000547/S008498/P096167	به این ترتیب اگر اعمال قدرت و قاطعیت قانونمند توسط حکومت منتخب مردم و به تعبیر صریح‌تر اگر اعمال زور از سوی حاکمیت هم خشونت نامیده شود این خشونت جنبه قانونی دارد	B E | AH I N | T A R T I B | AH A G A R | AH A AH M AA L E | Q O D R A T | V A | Q AA T E AH I Y Y A T E | Q AA N U N M A N D | T A V A S S O T E | H O K U M A T E | M O N T A KH A B E | M A R D O M | V A | B E | T A AH B I R E | S A R I H T A R | AH A G A R | AH A AH M AA L E | Z U R | AH A Z | S U Y E | H AA K E M I Y Y A T | H A M | KH O SH U N A T | N AA M I D E | SH A V A D | AH I N | KH O SH U N A T | J A N B E Y E | Q AA N U N I | D AA R A D	B E | AH I N | T A R T I B | AH A G A R | AH E AH M AA L E | Q O D R A T | V A | Q AA T E AH I Y Y A T E | Q AA N U N M A N D | T A V A S S O T E | H O K U M A T E | M O N T A KH A B E | M A R D O M | SIL | V AA V | B E | T A AH B I R E | S A R I H T A R | AH A G A R | AH E AH M AA L E | Z U R | AH A Z | S U Y E | H AA K E M I Y Y A T | H A M | KH O SH U N A T | N AA M I D E | SH A V A D | SIL | AH I N | KH O SH U N A T | J A N B E Y E | Q AA N U N I | D AA R A D
R000547/S008498/P096168	به حاکمیت این دو اصل در اداره جامعه از سوی دولت‌ها در کشورها دو گونه نگریسته می‌شود	B E | H AA K E M I Y Y A T E | AH I N | D O | AH A S L | D A R | AH E D AA R E Y E | J AA M E AH E | AH A Z | S U Y E | D O L A T H AA | D A R | K E SH V A R H AA | D O | G U N E | N E G A R I S T E | M I SH A V A D	SIL | B E | H AA K E M I Y Y A T E | AH I N | D O | AH A S L | D A R | AH E D AA R E Y E | J AA M E AH E | AH A Z | S U Y E | D O L A T H AA | D O R R E | SIL | K E SH V A R H AA | SIL | D O | G U N E | N E G A R I S T E | M I SH A V A D
R000547/S008498/P096169	سؤال دیگر در باب تکنیک و جامعه تکنولوژیک بود	S O AH AA L | D I G A R | D A R | B AA B E | T E K N I K | V A | J AA M E AH E Y E | T E K N O L O ZH I K | B U D	SIL | S O AH AA L E | D I G A R | SIL | D A R | B AA B E | T E K N I K | AH O | J AA M E AH E Y E | T E K N O L O ZH I K | B U D | SIL
R000547/S008498/P096170	او واقعاً عبد صالح خدا بود	AH U | V AA Q E AH A N | AH A B D E | S AA L E H E | KH O D AA | B U D	AH U | V AA Q E AH A N | SIL | AH A B D E | S AA L E H E | KH O D AA | B U D
R000547/S008499/P096171	هرساله تعدادی از مدارس قدیمی به علت فرسوده شدن بنا از رده آموزشی خارج می‌شوند	H A R S AA L E | T E AH D AA D I | AH A Z | M A D AA R E S E | Q A D I M I | B E | AH E L L A T E | F A R S U D E | SH O D A N E | B A N AA | AH A Z | R A D E Y E | AH AA M U Z E SH I | KH AA R E J | M I SH A V A N D	SIL | H A R S AA L E | T E AH D AA D I | AH A Z | M A D AA R E S E | Q A D I M I | B E | AH E L L A T E | F A R S U D E | SH O D A N E | B A N AA | AH A Z | R A D E | AH AA M U Z E SH I | KH AA R E J | M I SH A V A N D
R000547/S008499/P096172	یکی از دلایل عدم موفقیت در صحبت کردن این است که فرد قبل از صحبت از مطلب مورد بحث اطلاع کافی نداشته باشد	Y E K I | AH A Z | D A L AA Y E L E | AH A D A M E | M O V A F F A Q I Y Y A T | D A R | S O H B A T | K A R D A N | AH I N | AH A S T | K E | F A R D | Q A B L | AH A Z | S O H B A T | AH A Z | M A T L A B E | M O R E D E | B A H S | AH E T T E L AA AH E | K AA F I | N A D AA SH T E | B AA SH A D	SIL | Y E K I | AH A Z | D A L AA Y E L E | AH A D A M E | SIL | M O V A F F A Q I Y Y A T | D A R | S O H B A T | K A R D A N | AH I N | AH A S T | K E | F A R D | Q A B L | AH A Z | S O H B A T | AH A Z | M A T L A B E | M O R E D E | B A H S | AH E T T E L AA AH E | SIL | K AA F I | N A D AA SH T E | B AA SH A D
R000547/S008499/P096173	میان انجام هزینه و ایجاد دارایی رابطه نزدیکی وجود دارد اما این دو ممکن است لازم و ملزوم یکدیگر نباشند	M I Y AA N E | AH A N J AA M E | H A Z I N E | V A | AH I J AA D E | D AA R AA Y I | R AA B E T E Y E | N A Z D I K I | V O J U D | D AA R A D | AH A M M AA | AH I N | D O | M O M K E N | AH A S T | L AA Z E M | V A | M A L Z U M E | Y E K D I G A R | N A B AA SH A N D	M I Y AA N E | AH A N J AA M E | H A Z I N E | V A | AH I J AA D E | D AA R AA Y I | R AA B E T E | N A Z D I K I | V O J U D | D AA R A D | AH A M M AA | AH I N | D O | M O M K E N | AH A S T | L AA Z E M | V E | M A L Z U M E | Y E K D I G A R | N A B AA SH A N D
R000547/S008499/P096174	وزیر کشور پاکستان از عبدالواحد موسوی لاری وزیر کشور جمهوری اسلامی ایران برای دیدار از اسلام‌آباد دعوت کرد	V A Z I R E | K E SH V A R E | P AA K E S T AA N | AH A Z | AH A B D O L V AA H E D E | M U S A V I Y E | L AA R I | V A Z I R E | K E SH V A R E | J O M H U R I Y E | AH E S L AA M I Y E | AH I R AA N | B A R AA Y E | D I D AA R | AH A Z | AH E S L AA M AA B AA D | D A AH V A T | K A R D	SIL | V A Z I R E | K E SH V A R E | P AA K E S T AA N | AH A Z | AH A B D O L V AA H E D E | M U S A V I Y E | L AA R I | V A Z I R E | K E SH V A R E | J O M H U R I | AH E S L AA M I | AH I R AA N | B A R AA Y E | D I D AA R | AH A Z | AH E S L AA M AH AA B AA D | D A AH V A T | K A R D
R000547/S008499/P096175	تیم فوتبال پیروزی تهران فردا در چارچوب مسابقات فوتبال جام حذفی باشگاه‌های ایران به مصاف تیم آدونیس خراسان می‌رود	T I M E | F U T B AA L | P I R U Z I Y E | T E H R AA N | F A R D AA | D A R | CH AA R CH U B E | M O S AA B E Q AA T E | F U T B AA L E | J AA M E | H A Z F I Y E | B AA SH G AA H H AA Y E | AH I R AA N | B E | M A S AA F E | T I M E | AH AA D O N I S E | KH O R AA S AA N | M I R A V A D	SIL | T I M E | F U T B AA L E | P I R U Z I | T E H R AA N | F A R D AA | D A R | CH AA R CH U B E | M O S AA B E Q AA T E | F U T B AA L E | J AA M E | H A Z F I Y E | B AA SH G AA H H AA Y E | AH I R AA N | B E | M A S AA F E | T I M E | AH AA D O N I S E | KH O R AA S AA N | M I R A V A D
R000547/S008499/P096176	سیگار بی هیچ چون‌وچرا دشمن سلامتی بوده و از نظر اخلاقی ضد ارزش به حساب می‌آید	S I G AA R | B I | H I CH | CH U N O CH E R AA | D O SH M A N E | S A L AA M A T I | B U D E | V A | AH A Z | N A Z A R E | AH A KH L AA Q I | Z E D D E | AH A R Z E SH | B E | H E S AA B | M I AH AA Y A D	SIL | S I G AA R | B I | H I CH | CH U N O CH E R AA | D O SH M A N E | S A L AA M A T I | B U D E | V A | AH A Z | N A Z A R E | AH A KH L AA Q I | Z E D D E | AH A R Z E SH | B E | H E S AA B E | M I AH AA Y A D
R000547/S008499/P096177	من از اول انقلاب تاکنون نسبت به حالت صمیمیتی که همیشه فکر می‌شد باید بین برادران باشد حساس و علاقه‌مند بودم	M A N | AH A Z | AH A V V A L E | AH E N Q E L AA B | T AA K O N U N | N E S B A T | B E | H AA L A T E | S A M I M I Y Y A T I | K E | H A M I SH E | F E K R | M I SH O D | B AA Y A D | B E Y N E | B A R AA D A R AA N | B AA SH A D | H A S S AA S | V A | AH A L AA Q E M A N D | B U D A M	SIL | M A N | AH A Z | AH A V V A L E | AH E N Q E L AA B | T AA K O N U N | N E S B A T | B E | H AA L A T E | S A M I M I Y Y A T I | K E | H A M I SH E | F E K R | M I SH O D | B AA Y A D | B E Y N E | B A R AA D A R AA N | B AA SH A D | SIL | H A S S AA S | V A | AH A L AA Q E M A N D | B U D A M
R000547/S008500/P096180	یک برنامه منسجم با نظامی که ما داریم این است که اول سیاست‌های کلی مدون بشود و بر اساس آن خشت بنا چیده بشود	Y E K | B A R N AA M E Y E | M O N S A J E M | B AA | N E Z AA M I | K E | M AA | D AA R I M | AH I N | AH A S T | K E | AH A V V A L | S I Y AA S A T H AA Y E | K O L L I | M O D A V V A N | B E SH A V A D | V A | B A R | AH A S AA S E | AH AA N | KH E SH T E | B A N AA | CH I D E | B E SH A V A D	SIL | Y E K | B A R N AA M E Y E | M O N S A J E M | B AA | N E Z AA M I | K E | M AA | D AA R I M | AH I N | AH A S T | K E | AH A V V A L | S I Y AA S A T H AA Y E | K O L L I | M O D A V V A N | B E SH A V A D | V A | B A R | AH A S AA S E | AH AA N | KH E SH T E | B A N AA | CH I D E | SIL | B E SH A V A D
R000547/S008500/P096181	او درواقع مانند دیگر هم‌وطنش رامبراند شرح زندگی و احوال روحی‌اش را از طریق تصویر کردن خود و خیره شدن به شعله سرکشی که از چشمانش زبانه می‌کشید توصیف کرده است	AH U | D A R V AA Q E AH | M AA N A N D E | D I G A R | H A M V A T A N A SH | R AA M B E R AA N D | SH A R H E | Z E N D E G I | V A | AH A H V AA L E | R U H I AH A SH | R AA | AH A Z | T A R I Q E | T A S V I R | K A R D A N E | KH O D | V A | KH I R E | SH O D A N | B E | SH O AH L E Y E | S A R K E SH I | K E | AH A Z | CH E SH M AA N A SH | Z A B AA N E | M I K E SH I D | T O S I F | K A R D E | AH A S T	SIL | AH U | D A R V AA Q E AH | SIL | M AA N A N D E | D I G A R | H A M V A T A N A SH | SIL | R AA M B E R AA N D | SIL | SH A R H E | Z E N D E G I | V A | AH A H V AA L E | R U H I AH A SH | R AA | AH A Z | T A R I Q E | T A S V I R | K A R D A N E | KH O D | SIL | V A | KH I R E | SH O D A N | B E | SH O AH L E Y E | S A R K E SH I | K E | AH A Z | CH E SH M AA N A SH | Z A B AA N E | M I K E SH I D | T O S I F | K A R D E | AH A S T
